,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,98.63,93.15,112.33,104.11,109.59,112.33,115.07,109.59,109.59,120.55,123.29,109.59,115.07,109.59,106.85,109.59,126.03,106.85,120.55,95.89,112.33,142.47,131.51,131.51,101.37,112.33,109.59,104.11,93.15,106.85,117.81,112.33,115.07,112.33,101.37,90.41,82.19,84.93,84.93,104.11,95.89,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85
China,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,5.48,5.48,8.22,5.48,5.48,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,13.7,13.7,16.44,16.44,16.44,19.18,19.18,19.18,21.92,19.18,21.92,21.92,19.18,13.7,16.44,19.18,21.92,24.66,21.92,19.18,16.44,16.44,19.18,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92
India,52.06,52.06,52.06,52.06,52.06,52.06,52.06,52.06,52.06,52.06,52.06,52.06,49.32,49.32,49.32,52.06,52.06,43.84,41.1,49.32,52.06,54.8,49.32,46.58,52.06,49.32,49.32,52.06,57.53,54.8,52.06,52.06,52.06,54.8,65.75,63.01,57.53,54.8,54.8,63.01,60.27,60.27,63.01,65.75,63.01,63.01,60.27,65.75,68.49,68.49,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75
Iran,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,65.75,68.49,73.97,68.49,68.49,65.75,65.75,65.75,68.49,73.97,73.97,84.93,87.67,84.93,84.93,84.93,79.45,73.97,63.01,60.27,73.97,73.97,71.23,68.49,63.01,68.49,68.49,71.23,73.97,73.97,73.97,73.97,73.97,73.97,73.97,73.97,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23
Korea Dem. Rep.,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,16.44,24.66,30.14,32.88,32.88,30.14,27.4,21.92,19.18,19.18,21.92,21.92,16.44,16.44,16.44,16.44,16.44,13.7,13.7,13.7,13.7,10.96,10.96,10.96,10.96,10.96,13.7,8.22,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22
Korea Rep.,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,5.48,8.22,13.7,16.44,19.18,21.92,21.92,24.66,21.92,19.18,24.66,30.14,38.36,43.84,41.1,35.62,41.1,46.58,54.8,57.53,65.75,68.49,79.45,84.93,87.67,90.41,90.41,84.93,82.19,84.93,84.93,90.41,79.45,87.67,93.15,95.89,101.37,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63
Russia,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,95.89,95.89,98.63,101.37,101.37,106.85,109.59,112.33,117.81,120.55,120.55,120.55,120.55,120.55,120.55,120.55,120.55,120.55,120.55,120.55,120.55,120.55,120.55
Singapore,10.96,10.96,10.96,10.96,19.18,16.44,19.18,16.44,21.92,21.92,27.4,21.92,27.4,32.88,32.88,32.88,35.62,35.62,38.36,30.14,35.62,35.62,35.62,38.36,38.36,38.36,46.58,46.58,49.32,52.06,49.32,60.27,63.01,65.75,73.97,76.71,79.45,84.93,79.45,79.45,84.93,84.93,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67
Botswana,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,43.84,43.84,43.84,43.84,43.84,41.1,41.1,43.84,43.84,43.84,43.84,41.1,43.84,43.84,46.58,35.62,43.84,46.58,54.8,60.27,63.01,63.01,63.01,60.27,63.01,65.75,68.49,65.75,65.75,76.71,79.45,68.49,65.75,63.01,60.27,65.75,65.75,65.75,65.75,65.75,65.75,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49
Congo - Dem. Rep.,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,5.48,5.48,5.48,5.48,5.48,5.48,2.74,5.48,5.48,5.48,8.22,8.22,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48
Congo - Rep.,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,5.48,5.48,5.48,5.48,8.22,8.22,10.96,13.7,10.96,16.44,13.7,16.44,13.7,16.44,19.18,19.18,21.92,21.92,19.18,24.66,24.66,24.66,21.92,21.92,21.92,24.66,24.66,21.92,16.44,16.44,16.44,19.18,19.18,16.44,21.92,21.92,24.66,24.66,27.4,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14
Sierra Leone,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,24.66,16.44,16.44,27.4,27.4,27.4,30.14,27.4,32.88,24.66,21.92,30.14,10.96,8.22,10.96,16.44,19.18,27.4,13.7,16.44,13.7,13.7,10.96,13.7,10.96,13.7,13.7,10.96,10.96,13.7,13.7,13.7,8.22,10.96,5.48,5.48,10.96,5.48,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96
South Africa,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,115.07,117.81,112.33,106.85,101.37,104.11,104.11,106.85,106.85,109.59,115.07,120.55,126.03,126.03,112.33,109.59,109.59,109.59,109.59,106.85,104.11,106.85,109.59,106.85,104.11,104.11,101.37,98.63,95.89,95.89,93.15,93.15,90.41,90.41,90.41,90.41,90.41,87.67,87.67,87.67,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41
