CO2 per capita,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United Kingdom,9.894187897,10.76864341,10.42878309,10.63313764,10.84717059,11.27418144,11.17459116,11.05147951,10.71508237,10.47317274,11.11911366,11.13303009,11.13880813,11.25583251,11.26351221,11.45472843,11.31430706,10.78107494,10.99226294,11.34137055,11.73509611,11.83821087,11.5863756,11.76813856,10.99418576,10.73346463,10.64201121,10.74232089,10.74747294,11.45427768,10.28786897,9.957271922,9.73479352,9.678931901,9.37840835,9.905083036,10.04408295,10.07541517,10.0244547,10.19431519,9.979974648,10.18479656,10.04789317,9.682954166,9.598924796,9.58007003,9.82361425,9.354158029,9.322261392,9.127136584,9.233474647,9.315212814,8.963441073,9.069662878,9.022277534,9.001867972,8.952900983,8.684595423,8.526466818,7.705539254,7.954468702,7.32499631,7.50253309,7.50253309,7.50253309,7.50253309
Brunei,8.631764616,5.887344168,5.966138466,6.037779919,5.977631017,4.75783566,4.476397179,4.215346736,4.374897142,4.275015829,4.178877673,3.646544769,4.247331559,3.904648984,3.582271433,3.352220972,4.718460898,4.037882681,3.760914542,4.082942621,65.63112902,57.37475511,68.95998717,69.52842719,54.54581809,45.21430016,36.91199778,37.64558129,54.05844401,40.65702658,36.35675295,7.524966649,10.40067693,13.06476376,9.003045355,11.85117553,10.20471574,14.32168033,23.98746704,25.89428506,25.46488184,22.42211829,21.76960501,20.36658393,19.178487,19.04143676,18.82758837,19.07177814,19.16621826,14.38430303,19.95702818,18.53358377,15.57543022,15.35964859,15.0604638,14.11642887,13.02037624,26.95271421,27.50750595,23.20692873,22.96032621,22.96032621,22.96032621,22.96032621,22.96032621,22.96032621
China,0.142899568,0.179800255,0.221810341,0.227836496,0.269519015,0.314007768,0.350204598,0.408226266,0.823141355,1.11234718,1.185919491,0.827506528,0.651705173,0.637538143,0.627551171,0.670049507,0.718445903,0.579386074,0.60920671,0.728484529,0.947122148,1.047967861,1.085901867,1.102640383,1.100777286,1.251860181,1.285083865,1.386847428,1.526796094,1.540667927,1.492171294,1.456222109,1.563582436,1.626078589,1.74427806,1.861076425,1.92661235,2.023534778,2.133840102,2.134473876,2.148559702,2.226313247,2.293794638,2.421521433,2.545073561,2.734777555,2.824139241,2.802597286,2.661320024,2.634231569,2.682866158,2.728882885,2.872547831,3.498358878,4.065723469,4.427592166,4.879028386,5.139069376,5.296193599,5.761825473,6.177530373,6.748088026,7.112641499,7.112641499,7.112641499,7.112641499
India,0.179173955,0.184486467,0.191116549,0.191287483,0.197530822,0.21040469,0.213755832,0.235246422,0.241146539,0.250146495,0.269225349,0.285349371,0.307620146,0.323658671,0.309921668,0.334320855,0.338680958,0.332354028,0.353660132,0.352153808,0.352291988,0.363275029,0.375651318,0.377949339,0.381779392,0.405368929,0.414073363,0.483922042,0.47611623,0.485350271,0.497886422,0.523086995,0.543384535,0.576349783,0.582768945,0.62514475,0.655586912,0.6849349,0.723699697,0.774663982,0.79025578,0.82719615,0.860997141,0.87718252,0.913860302,0.953837431,1.019927418,1.043262704,1.05237575,1.104247446,1.125872915,1.123541704,1.126744136,1.159068258,1.200723575,1.237672175,1.300067332,1.372484618,1.520849421,1.641149581,1.640222788,1.675540213,1.781031872,1.781031872,1.781031872,1.781031872
Iran,0.389308494,0.389308494,0.225612264,0.206476348,0.05504625,0.814344288,1.146721064,1.069572846,1.207408758,1.193240949,1.699569296,1.61875562,1.617112311,1.738648033,1.948330898,2.144968836,2.492138674,2.568641865,3.032246532,2.977451317,3.210219036,3.462628091,3.522940668,4.18909888,4.526521683,4.258020412,4.643442666,4.711795458,4.516078391,4.407506458,3.136716344,2.823577154,3.32586632,3.475511897,3.366745377,3.460750587,3.078393655,3.191185582,3.402144927,3.580363976,3.847520021,4.066507055,4.013710396,4.103293835,4.519748553,4.576927862,4.549834944,4.357218722,4.897636893,5.95347043,5.703332935,6.013707836,5.983106901,6.153554262,6.494673898,6.729845975,7.223400378,7.555636648,7.892210941,7.895171594,7.726537146,7.82412674,7.977037372,7.977037372,7.977037372,7.977037372
North Korea,0.074,0.0973,0.0887,0.175,0.481,0.729,0.872,1.07,1.44,1.78,2.08,2.27,2.59,2.72,2.9,3.53,3.7,3.97,4.36,4.58,5.1,7.26,5.89,6.24,6.37,6.62,6.66,6.79,6.4,6.45,6.59,6.51,6.56,6.91,7.31,7.72,8.26,9.12,10.3,10.8,11.1,11.2,11.2,11.3,11,10.9,10.6,9.61,2.63,2.85,3.05,3.13,2.98,3.02,3.06,3.17,3.21,2.66,2.93,2.9,2.72,1.95,1.98,2.01,2.01,2.01
South Korea,0.114,0.152,0.177,0.235,0.252,0.305,0.345,0.362,0.384,0.462,0.501,0.56,0.652,0.777,0.8,0.881,1.03,1.19,1.23,1.38,1.71,1.83,1.84,2.19,2.22,2.36,2.64,2.95,3.12,3.61,3.6,3.67,3.67,3.84,4.11,4.4,4.44,4.63,5.27,5.54,5.75,6.03,6.5,7.31,7.76,8.39,8.98,9.5,8,8.71,9.69,9.68,9.95,9.91,10.2,9.72,9.82,10.3,10.5,10.4,11.5,11.9,11.8,11.9,11.9,11.9
Russia,4.106827562,4.38495398,4.620236101,4.806683221,5.162037329,5.757311501,6.212180573,6.694622399,7.041703,7.300162039,7.498654374,7.633591789,7.913976236,8.391277092,8.834061517,9.289621079,9.739238365,10.12302065,10.35409802,10.73065715,11.22968003,11.85497515,12.40498362,12.85542683,13.26736233,13.86380787,14.31001448,14.70477289,15.11247346,15.1373385,15.62711409,15.22600314,15.40588075,15.51686341,15.54498221,16.64434757,16.5682985,17.14150985,17.4935188,17.02840141,15.89549953,15.27668486,14.36909459,13.18441682,11.5701013,11.17949456,10.99145683,10.52452842,10.33241149,10.44693374,10.61594912,10.65854383,10.70318054,11.07690138,11.10699781,11.23126521,11.63309628,11.63649419,11.98271761,11.00363332,12.17571588,12.6516726,12.63752182,12.63752182,12.63752182,12.63752182
Singapore,1.200986974,1.200986974,1.200986974,1.200986974,1.200986974,1.200986974,1.200986974,1.200986974,1.52449335,1.144760849,0.852872896,1.238614889,1.479336351,1.898180673,2.016986988,1.346059,0.351188602,1.559765597,2.711496927,3.538295853,8.779073066,7.852526786,10.33070649,9.680333216,9.855335147,10.84711931,13.10555806,12.21247228,14.14566693,15.20559071,13.01712429,10.89906678,11.80232068,13.54692214,12.6181277,12.33621227,12.6585298,11.54676872,12.53337129,14.22730052,15.55944659,15.29973721,15.75290459,16.61556276,19.30653383,13.52960291,15.46207034,18.86128859,15.23105404,13.02175926,12.50257274,12.44340974,11.71233261,7.618604765,6.843890705,7.115879149,6.983366799,3.896273284,4.114440755,5.007368436,2.657862567,2.713840991,2.502661442,2.502661442,2.502661442,2.502661442
Botswana,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.029742471,0.067093538,0.111050538,0.22750997,0.695734468,0.879785877,0.901541032,0.982022765,0.990084765,0.976226229,1.02831897,0.930910256,0.913108746,0.979593953,1.083383124,1.21811822,1.242750621,1.32285781,1.575553885,1.509350904,2.250173615,2.329956037,2.269120688,2.222240441,1.933028844,1.934312855,2.259787712,2.051677903,2.432033979,2.428760923,2.480131571,2.33007509,2.363620756,2.459206198,2.44392364,2.438686962,2.547205492,2.218604451,2.607113465,2.607113465,2.607113465,2.607113465,2.607113465,2.607113465
Congo Dem. Rep.,0.121583597,0.140577328,0.164196014,0.176520666,0.212436146,0.24974987,0.228620134,0.233933627,0.200571088,0.180390725,0.151032641,0.149528157,0.134374031,0.138170147,0.115809322,0.140870341,0.133271714,0.123347069,0.176144095,0.185432792,0.133879318,0.142127829,0.140977354,0.14495142,0.148712688,0.138855675,0.142168196,0.140943621,0.138794191,0.143003122,0.129601645,0.135944025,0.107619306,0.1372128,0.131388287,0.117284566,0.10565088,0.117035497,0.118316197,0.125083801,0.111794065,0.099182313,0.091750751,0.083005179,0.058116115,0.067313602,0.071722351,0.063102048,0.053482682,0.046410744,0.033174681,0.030705714,0.029408032,0.031381178,0.034723415,0.038760823,0.040893521,0.042837587,0.045132791,0.042375145,0.046079437,0.046079437,0.046079437,0.046079437,0.046079437,0.046079437
Congo Rep.,0.189188916,0.189188916,0.189188916,0.189188916,0.189188916,0.189188916,0.189188916,0.189188916,0.189188916,0.189188916,0.220669751,0.257381447,0.22324279,0.214018192,0.237591397,0.212164786,0.258736124,0.263587701,0.358130069,0.38752992,0.428436178,0.498308971,0.467757616,0.83445471,1.076662193,0.707489679,0.771611684,0.291345777,0.190148202,0.199426415,0.22632675,0.255414876,0.705523778,0.582396357,0.563867422,0.614883808,0.498438118,0.601366803,0.662839318,0.648162286,0.497299596,0.515497947,0.624157804,0.596408669,0.808089014,0.572936374,0.610650514,0.810490788,0.261435359,0.26881043,0.334420466,0.268153805,0.215166687,0.322519519,0.342642829,0.411999361,0.368833081,0.385280842,0.384220477,0.478165334,0.501537799,0.501537799,0.501537799,0.501537799,0.501537799,0.501537799
Sierra Leone,0.083183454,0.049636956,0.09230266,0.085480048,0.062310808,0.090346256,0.087270207,0.186028643,0.098544001,0.108968376,0.326895997,0.130361335,0.144526633,0.161360365,0.130419256,0.118961944,0.124519248,0.102952331,0.153900273,0.434778967,0.336531151,0.304136253,0.252306684,0.19683041,0.186583767,0.184274551,0.155345879,0.173196396,0.234970374,0.219288179,0.192509362,0.214485344,0.167737673,0.204327979,0.178389657,0.187437913,0.185361633,0.133086234,0.119050247,0.095121416,0.097616508,0.117471656,0.054361214,0.054811851,0.073051131,0.073364127,0.081833124,0.084319596,0.076974214,0.072818868,0.102660277,0.13205231,0.135093694,0.137983913,0.129573769,0.106013432,0.137654069,0.115790411,0.118255775,0.113719001,0.117482591,0.117482591,0.117482591,0.117482591,0.117482591,0.117482591
South Africa,4.464099745,4.658954551,4.953246619,4.845230889,4.924215515,5.3953726,5.541669427,5.557043319,5.822054479,5.574262396,5.629051599,5.725707047,5.772039401,5.838210973,6.196698447,6.472667818,6.314548735,6.422741585,6.45956891,6.534145155,6.654888318,7.294587551,7.234083195,7.115962578,7.057259988,7.20602784,7.327089106,7.402268494,7.302103865,7.718014363,7.856101802,8.6273645,9.170623962,9.302943963,9.809658409,9.828723711,9.806766751,9.545995955,9.745863561,9.483255351,9.063547759,9.188038655,8.405987126,8.647372569,8.852466117,8.536373093,8.502692148,8.660250638,8.55278692,8.405596029,8.234447518,7.991048988,7.555187225,8.165662922,9.043477623,8.287456989,8.789515823,9.082425042,9.427960373,10.12824343,9.177268721,9.047452992,9.086901625,9.086901625,9.086901625,9.086901625
