Romania,11878502,11878502,11878502,11878502,11878502,11878502,12320811,12320811,12320811,12320811,12320811,12320811,12320811,12320811,12320811,12320811,14064439,14064439,14064439,14064439,14064439,14064439,14064439,14064439,14064439,14064439,14064439,15715805,15715805,15715805,15715805,15715805,15715805,15715805,15715805,15715805,15715805,16236292,16512672,16764920,17005725,17243807,17483911,17726584,17968397,18202623,18420348,18613835,18780105,18924068,19059874,19207098,19379554,19582342,19810623,20055983,20305391,20549016,20783864,21011826,21233593,21451256,21665780,21877548,22083933,22279485,22457125,22612149,22739965,22842426,22928996,23013190,23103637,23205267,23312045,23408397,23472562,23489361,23454143,23373155,23255683,23115921,22965125,22804526,22633398,22458737,22288573,22128139,21983221,21851988,21722664,21578318,21407619,21205977,20979708,20741669,20510263,20298838,20111664,19944954,19794163,19651554,19511324
United Kingdom,41804912,41804912,41804912,41804912,41804912,41804912,43825720,43825720,43825720,43825720,43825720,43825720,43825720,43825720,43825720,43825720,45957969,45957969,45957969,45957969,45957969,45957969,45957969,45957969,45957969,45957969,45957969,48235963,48235963,48235963,48235963,48235963,48235963,48235963,48235963,48235963,48235963,50616012,50620538,50683596,50792671,50938227,51113711,51315724,51543847,51800117,52088147,52410496,52765864,53146634,53537821,53920055,54278349,54606608,54904680,55171084,55406435,55611401,55785325,55927492,56039166,56122405,56179925,56212943,56224944,56223974,56220089,56221513,56231020,56250124,56283959,56337848,56415196,56519444,56649375,56797704,56953861,57110117,57264600,57419469,57575969,57736667,57903790,58079322,58263858,58456989,58657794,58867004,59080221,59301235,59548421,59846226,60210012,60648850,61151820,61689620,62221164,62716684,63164949,63573766,63955654,64331348,64715810
China,417830774,417830774,417830774,417830774,417830774,417830774,462750597,462750597,462750597,462750597,462750597,462750597,462750597,462750597,462750597,462750597,481222579,481222579,481222579,481222579,481222579,481222579,481222579,481222579,481222579,481222579,481222579,509858820,509858820,509858820,509858820,509858820,509858820,509858820,509858820,509858820,509858820,544112923,558820362,570764965,580886559,589955812,598574241,607167524,615992182,625155626,634649557,644450173,654625069,665426760,677332765,690932043,706590947,724490033,744365635,765570668,787191243,808510713,829367784,849787991,869474823,888132761,905580445,921688199,936554514,950537317,964155176,977837433,991553829,1005328574,1019698475,1035328572,1052622410,1071834975,1092646739,1114162025,1135128009,1154605773,1172327831,1188450231,1202982955,1216067023,1227841281,1238234851,1247259143,1255262566,1262713651,1269974572,1277188787,1284349938,1291485488,1298573031,1305600630,1312600877,1319625197,1326690636,1333807063,1340968737,1348174478,1355386952,1362514260,1369435670,1376048943
India,253761202,253761202,253761202,253761202,253761202,253761202,267795301,267795301,267795301,267795301,267795301,267795301,267795301,267795301,267795301,267795301,285470839,285470839,285470839,285470839,285470839,285470839,285470839,285470839,285470839,285470839,285470839,324372335,324372335,324372335,324372335,324372335,324372335,324372335,324372335,324372335,324372335,376325205,382231042,388515758,395137696,402065915,409280196,416771502,424541513,432601236,440968677,449661874,458691457,468054145,477729958,487690114,497920270,508402908,519162069,530274729,541844848,553943226,566605402,579800632,593451889,607446519,621703641,636182810,650907559,665936435,681358553,697229745,713561406,730303461,747374856,764664278,782085127,799607235,817232241,834944397,852736160,870601776,888513869,906461358,924475633,942604211,960874982,979290432,997817250,1016402907,1034976626,1053481072,1071888190,1090189358,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543,1311050527
Iran,10600670,10600670,10600670,10600670,10600670,10600670,11758739,11758739,11758739,11758739,11758739,11758739,11758739,11758739,11758739,11758739,13315170,13315170,13315170,13315170,13315170,13315170,13315170,13315170,13315170,13315170,13315170,15077617,15077617,15077617,15077617,15077617,15077617,15077617,15077617,15077617,15077617,17119263,17516578,17933356,18368896,18822605,19293998,19782699,20288440,20811062,21350524,21906905,22480420,23071426,23680433,24308080,24955116,25624650,26318116,27032944,27765239,28514011,29281130,30073845,30903565,31784896,32730555,33739231,34814231,35977589,37256771,38668222,40209077,41862373,43610506,45429019,47290793,49205577,51152122,53035939,54735239,56169196,57288039,58130099,58811858,59501292,60318632,61306632,62426086,63616065,64780362,65850062,66812736,67696677,68522074,69321953,70122115,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445,78143644,79109272
North Korea,5293486,5293486,5293486,5293486,5293486,5293486,6117873,6117873,6117873,6117873,6117873,6117873,6117873,6117873,6117873,6117873,7366694,7366694,7366694,7366694,7366694,7366694,7366694,7366694,7366694,7366694,7366694,8870433,8870433,8870433,8870433,8870433,8870433,8870433,8870433,8870433,8870433,10549469,10248496,10049026,9957244,9972437,10086993,10285936,10547389,10843979,11145152,11424179,11665593,11871720,12065470,12282421,12547524,12864683,13221826,13608611,14009168,14410400,14812363,15214615,15603001,15960127,16274740,16539029,16758826,16953621,17151321,17372167,17623335,17899236,18191881,18487997,18778101,19058988,19334550,19610512,19895390,20194354,20510208,20838082,21166230,21478544,21763670,22016510,22240826,22444986,22641747,22840218,23043441,23248053,23449173,23639296,23813324,23969897,24111945,24243829,24371806,24500506,24631359,24763353,24895705,25026772,25155317
South Korea,10193929,10193929,10193929,10193929,10193929,10193929,11839704,11839704,11839704,11839704,11839704,11839704,11839704,11839704,11839704,11839704,13929869,13929869,13929869,13929869,13929869,13929869,13929869,13929869,13929869,13929869,13929869,15684579,15684579,15684579,15684579,15684579,15684579,15684579,15684579,15684579,15684579,19211386,19304737,19566860,19979069,20520601,21168611,21897911,22681233,23490027,24295786,25074028,25808542,26495107,27143075,27770874,28392722,29006181,29606633,30204127,30811523,31437141,32087884,32759447,33435268,34091816,34713078,35290737,35832213,36356187,36889651,37451085,38046253,38665964,39295418,39912900,40501917,41059473,41588374,42085050,42546704,42972254,43358716,43708170,44031222,44342530,44652994,44967346,45283939,45599569,45908307,46206271,46492324,46769579,47043251,47320454,47605863,47901643,48205062,48509842,48807036,49090041,49356692,49608451,49846756,50074401,50293439
Russia,71044207,71044207,71044207,71044207,71044207,71044207,77871987,77871987,77871987,77871987,77871987,77871987,77871987,77871987,77871987,77871987,85369549,85369549,85369549,85369549,85369549,85369549,85369549,85369549,85369549,85369549,85369549,93588981,93588981,93588981,93588981,93588981,93588981,93588981,93588981,93588981,93588981,102798657,104306354,105969442,107729541,109537868,111355224,113152347,114909562,116615781,118266807,119860289,121390327,122842753,124193114,125412397,126483874,127396324,128165823,128837792,129475269,130126383,130808492,131517584,132254362,133012558,133788113,134583945,135406786,136259517,137144808,138063062,139006739,139969243,140951400,141955200,142975753,144016095,145056221,146040116,146895053,147568552,148040354,148322473,148435811,148416292,148293265,148078355,147772805,147385440,146924174,146400951,145818121,145195521,144583147,144043914,143622566,143338407,143180249,143123163,143126660,143158099,143211476,143287536,143367341,143429435,143456918
Singapore,294092,294092,294092,294092,294092,294092,395975,395975,395975,395975,395975,395975,395975,395975,395975,395975,577478,577478,577478,577478,577478,577478,577478,577478,577478,577478,577478,748657,748657,748657,748657,748657,748657,748657,748657,748657,748657,1022098,1067964,1120277,1178074,1240283,1305731,1373121,1441052,1508061,1572694,1633718,1690353,1742472,1790682,1836087,1879571,1921099,1960547,1998637,2036270,2074071,2112873,2152603,2191924,2228896,2262393,2291621,2317796,2344224,2375417,2414524,2463245,2520494,2583241,2646981,2708634,2766755,2822828,2880188,2943633,3016400,3100091,3193042,3291280,3389119,3482635,3570080,3653151,3735531,3822619,3918183,4023237,4136102,4254553,4375230,4495531,4614637,4732785,4849641,4965105,5078961,5190666,5299524,5405009,5506586,5603740
Botswana,126674,126674,126674,126674,126674,126674,152437,152437,152437,152437,152437,152437,152437,152437,152437,152437,216830,216830,216830,216830,216830,216830,216830,216830,216830,216830,216830,282215,282215,282215,282215,282215,282215,282215,282215,282215,282215,412533,425270,437182,448437,459206,469671,480016,490433,501117,512256,524029,536576,549990,564316,579560,595741,612950,631276,650730,671305,693021,715811,739754,765177,792513,822029,853860,887793,923305,959666,996331,1033073,1069962,1107103,1144716,1182942,1221668,1260720,1300097,1339813,1379814,1420098,1460453,1500356,1539135,1576291,1611827,1645846,1678111,1708368,1736579,1762531,1786672,1810438,1835750,1864003,1895671,1930431,1967866,2007212,2047831,2089706,2132822,2176510,2219937,2262485
Brunei,21180,21180,21180,21180,21180,21180,25463,25463,25463,25463,25463,25463,25463,25463,25463,25463,29451,29451,29451,29451,29451,29451,29451,29451,29451,29451,29451,35616,35616,35616,35616,35616,35616,35616,35616,35616,35616,48001,50971,53932,56958,60104,63401,66859,70465,74189,77989,81825,85687,89603,93650,97933,102525,107450,112680,118176,123875,129729,135716,141836,148067,154395,160799,167283,173826,180357,186786,193057,199136,205061,210933,216893,223049,229418,235980,242750,249738,256939,264365,271989,279717,287423,295010,302449,309746,316873,323812,330554,337074,343383,349557,355700,361889,368150,374459,380786,387080,393302,399443,405512,411499,417394,423188
Congo - Dem. Rep.,9315190,9315190,9315190,9315190,9315190,9315190,9945931,9945931,9945931,9945931,9945931,9945931,9945931,9945931,9945931,9945931,10624852,10624852,10624852,10624852,10624852,10624852,10624852,10624852,10624852,10624852,10624852,11350117,11350117,11350117,11350117,11350117,11350117,11350117,11350117,11350117,11350117,12183661,12428829,12680934,12944393,13222519,13517519,13830444,14161242,14508911,14871771,15248246,15637715,16041247,16461914,16903899,17369859,17861860,18378189,18913177,19458874,20009902,20563111,21120996,21690604,22282079,22902275,23556784,24242643,24948113,25656486,26357407,27049145,27741104,28448122,29190679,29985665,30829103,31721541,32688708,33763056,34962676,36309209,37783835,39314955,40804011,42183620,43424997,44558347,45647949,46788238,48048664,49449015,50971407,52602208,54314855,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861,74877030,77266814
Congo - Rep.,601896,601896,601896,601896,601896,601896,646890,646890,646890,646890,646890,646890,646890,646890,646890,646890,695577,695577,695577,695577,695577,695577,695577,695577,695577,695577,695577,747928,747928,747928,747928,747928,747928,747928,747928,747928,747928,807726,824129,841473,859714,878834,898832,919735,941590,964461,988433,1013581,1039966,1067611,1096502,1126602,1157905,1190361,1224041,1259190,1296137,1335090,1376189,1419305,1464052,1509880,1556406,1603446,1651134,1699781,1749859,1801688,1855391,1910800,1967596,2025320,2083648,2142529,2202106,2262496,2323890,2386467,2450125,2514907,2581306,2649964,2721277,2795903,2873638,2953011,3031969,3109269,3183883,3256867,3331564,3412592,3503086,3604595,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962,4620330
Sierra Leone,1480939,1480939,1480939,1480939,1480939,1480939,1586990,1586990,1586990,1586990,1586990,1586990,1586990,1586990,1586990,1586990,1696801,1696801,1696801,1696801,1696801,1696801,1696801,1696801,1696801,1696801,1696801,1814210,1814210,1814210,1814210,1814210,1814210,1814210,1814210,1814210,1814210,1944001,1962818,1983321,2005162,2028070,2051845,2076362,2101568,2127479,2154160,2181701,2210169,2239581,2269890,2301023,2332999,2365801,2399667,2435197,2473165,2514151,2558395,2605837,2656380,2709797,2765914,2824827,2886607,2951001,3017670,3086406,3155368,3224346,3296530,3376371,3466044,3569102,3681945,3791078,3878211,3931208,3945899,3929182,3893891,3858559,3837807,3833053,3843472,3878475,3948800,4060709,4220198,4422154,4647701,4870467,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,6453184
South Africa,5785887,5785887,5785887,5785887,5785887,5785887,7155299,7155299,7155299,7155299,7155299,7155299,7155299,7155299,7155299,7155299,8880522,8880522,8880522,8880522,8880522,8880522,8880522,8880522,8880522,8880522,8880522,11021715,11021715,11021715,11021715,11021715,11021715,11021715,11021715,11021715,11021715,13683162,13993888,14322409,14665139,15019626,15384557,15759812,16146410,16546324,16962183,17396367,17850045,18322335,18809939,19308166,19813947,20325230,20843785,21374931,21926165,22502502,23106806,23736489,24384538,25040940,25698856,26354140,27009755,27674446,28360820,29077143,29828874,30611206,31409913,32204952,32983013,33733547,34463077,35195598,35965131,36793490,37692367,38646788,39619539,40558495,41426810,42210216,42921506,43584030,44233730,44896856,45579161,46272223,46971250,47667150,48352951,49027805,49693580,50348811,50992034,51621594,52237272,52837274,53416609,53969054,54490406
,21180,0.0002118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1376048943,13.76048943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
